//V2.20 2019-09-12
//Fehlerliste;;
//SYS;;
1;Init - Init failed;Restart PLC
2;Reading Sys-Init failed;Restart PLC
3;Reading Data modules incomplete;Restart PLC
4;Reading characteristic curves incomplete;Restart PLC
5;Error Search Data of SysInit;Restart PLC
6;Error Write CSV of SysInit;Restart PLC
7;Error Init of PCInterface;Restart PLC
8;Initialisation of CfgHandler failed;Restart PLC
10;Initialisation of Warning lights failed;Restart PLC
11;Warning light no. 1 is broken;Check Warning light, change if necessary
12;Warning light no. 2 is broken;Check Warning light, change if necessary
13;Warning light no. 3 is broken;Check Warning light, change if necessary
14;Warning light channel 1 defect;
15;Warning light channel 2 defect;
16;Warning light channel 3 defect;
20;Initialisation of Refresh failed;Restart PLC
21;Initialisation of Filament Adjust failed;Restart PLC
22;Initialisation of StartingXfailed;Restart PLC
23;Initialisation of Centering failed;Restart PLC
24;Initialisation of TargetAdjust failed;Restart PLC
25;Initialisation of Target Control failed;Restart PLC
26;Initialisation of Cooling Control failed;Restart PLC
27;Cooling is broken (obsolete);Check  Cooling, if necessary
28;Cooling Variable not found;Restart PLC
29;Cooling error by allocating memory;Restart PLC
30;Error cooling off.;Switch on cooling.
31;Reading SysConf failed;Restart PLC
32;Error Search Data of SysConf ;Restart PLC
33;Error Write CSV of SysConf;Restart PLC
34;Path to Head not found;Restart PLC
35;Initialisation of StandBy failed;Restart PLC
36;Initialisation of HardwareSupervisor failed;Restart PLC
37;Initialisation fof Conditioning failed;Restart PLC
38;Initialisation of Prewarning failed;Restart PLC
39;Initialisation of SerialnumberCheck failed;Restart PLC
40;Initialisation of Leak Current Test failed;Restart PLC
41;Cooling 1 is broken;Check cooling
42;Cooling 2 is broken;Check cooling
43;Tube configuration mismatch;Check cooling entries
50;Tubehead configuration mismatch;Check SysConf
51;Tube head configuration mismatch;Check TubeheadConfig and Optic folders
52;Tube head configuration mismatch or cabel W1.2 to tube head not connected;
101;System variable not found;Restart PLC
102;System  error by allocating memory;Restart PLC
103;Error SearchData of System;Restart PLC
104;Error WriteData of System;Restart PLC
105;Error ReadFile of System;Restart PLC
106;Filament Adjust: Timeout;
107;Error SearchData of Cooling;
108;Error WriteData of Cooling;
109;Error ReadFile of Cooling;
110;CPUConfig variable not found;Restart PLC
111;CPUConfig error by allocating memory;Restart PLC
112;Error SearchData of CPUConfig;Restart PLC
113;Error WriteData of CPUConfig;Restart PLC
114;Error ReadFile of CPUConfig;Restart PLC
115;TargetPowCounter variable not found;Restart PLC
116;TargetPowCounter error by allocating memory;Restart PLC
117;Error SearchData of TargetPowCounter;Restart PLC
118;Error WriteData of TargetLifetime;Restart PLC
119;Error ReadFile of TargetLifetime;Restart PLC
120;No File CPUConfig found;Check values in CPUConfig
121;No File CoolingDM1 found;Check values in CoolingDM1
122;No File ModeDM1 found;Check values in ModeDM1
123;No File VacuumDM1 found;Check values in VacuumDM1
124;No File HTGDM1 found;Check values in HTGDM1
125;No File TargetDM1 found;Check values in TargetDM1
126;No File ApertureDM0 found;Check values in ApertureDM0
127;No File ApertureDM1 found;Check values in ApertureDM1
128;No File FocusDM1 found;Check values in FocusDM1
129;No File CondenserDM1 found;Check values in CondenserDM1
130;No File CenterDM2 found;Check values in CenterDM2
131;No File CenterDM found;Check values in CenterDM
132;No File SystemDM found;Check values in SystemDM
133;No File TubeDM found;Check values in TubeDM
134;File CoolingDM1 not correct;Check values in CoolingDM1
135;File ModeDM1 not correct;Check values in ModeDM1
136;File VacuumDM1 not correct;Check values in VacuumDM1
137;File HTGDM1 not correct;Check values in HTGDM1
138;File TargetD1M not correct;Check values in TargetDM1
139;File ApertureDM0 not correct;Check values in ApertureDM0
140;File ApertureDM1 not correct;Check values in ApertureDM1
141;File FocusDM1 not correct;Check values in FocusDM1
142;File CondenserDM1 not correct;Check values in CondenserDM1
143;File CenterDM2 not correct;Check values in CenterDM2
144;File CenterDM1 not correct;Check values in CenterDM1
145;File SystemDM1 not correct;Check values in SystemDM1
146;File TubeDM1 not correct;Check values in TubeDM1
147;File SysInit not correct;Check values in SysInit
148;Check Filament: Timeout;Check Centering
149;Leak Current is over maximum;Clean Tube
150;File AutoFuncDM1 not correct;Check values in AutoFuncDM1
151;No File AutoFuncDM1 found;Check values in AutoFuncDM1
152;Reading AutoFuncDM1 failed;Restart PLC
153;Error WriteData of AutoFuncDM1;Restart PLC
154;Error SearchData of AutoFuncDM1;Restart PLC
155;File MaintenanceDM1 not correct;Check values in MaintenanceDM1
156;No File MaintenanceDM1 found;Check values in MaintenanceDM1
157;Reading MaintenanceDM1 failed;Restart PLC
158;Error WriteData of MaintenanceDM1;Restart PLC
159;Error SearchData of MaintenanceDM1;Restart PLC
160;Invalid mode number demanded;
161;Filament Correction Factor is not in range;Repeat Filament Adjust
162;Filament Correction Factor is not in range;Repeat Filament Adjust
163;Additional Filament Current is not in range;Value adjusted
164;Filament Correction Factor is not plausible (lower and upper factor);Value adjusted
170;File Statistics not correct;Check values in Statistics
